Year,Algeria,Australia,Austria,Bahrain,Bangladesh,Belgium,Bolivia,Botswana,Brunei Darussalam,Burkina Faso,Canada,Chile,China,Colombia,Denmark,El Salvador,Eswatini,Ethiopia,Finland,France,Ghana,Greece,India,"Iran, Islamic Rep.",Ireland,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Lesotho,Madagascar,Malaysia,Mauritius,Mexico,Mongolia,Morocco,Mozambique,Namibia,Netherlands,New Zealand,Nigeria,Norway,Oman,Papua New Guinea,Paraguay,Philippines,Portugal,Romania,Saudi Arabia,Seychelles,Singapore,South Asia,South Asia (IDA & IBRD),Spain,Sri Lanka,Sweden,Switzerland,United Kingdom
2000,12.0049859663702,5.18288400684111,1.93159028105101,17.15374841169,12.3096970956816,2.73463038706315,7.03718058201406,8.16920943134535,9.79525360632852,6.24419839804014,2.74757242596902,11.7560784622428,11.3387431703261,11.4804912458984,2.76624322170998,4.46843401962338,5.71993937352644,29.5303770949721,2.64233485407162,4.03664247573078,3.44006203473945,7.46430804422417,11.503050861425,14.0369920069682,2.27348107945123,3.73457604206693,1.7973616269807,2.54790355855006,18.3162518301611,6.45320549879516,19.558707643814,8.44484269215452,6.64531292248175,5.85551177936802,0.853125,2.10722057223513,6.18147403288773,10.9042448562099,5.42925227023894,7.78847321753917,3.38422179293061,4.16703422724065,2.19681698856179,4.12432956795716,22.6964820359281,3.17811012916383,6.25855785093633,7.48423185444829,3.28420354668237,7.16781365802012,31.7941487486782,3.03030303030303,27.4293691906389,13.2053872592978,13.2053872592978,4.4014319940952,18.931931411073,3.47279569122573,3.11108187230683,6.9648505395956
2001,12.1021948130775,5.2337558515831,1.76504348593881,14.6443514644351,10.5139681996053,2.59930895523532,7.26148048891733,8.98635798405384,9.88593155893536,5.8775638151049,2.75741233589552,11.4189194966175,11.4198865828958,12.162468020259,2.90018063170038,5.65933354901326,4.96480938416422,19.2335196983487,2.47270170819996,3.92645351975583,1.78949806949807,7.07042635880437,10.5239547484079,14.5737639827924,2.18431771894094,3.53321886966043,1.72309196070828,2.64725012318944,17.7893738140417,6.99429920298209,17.9291829923088,6.58734052993131,7.81128945521497,6.78267930134066,0.821010329346017,2.07544885464676,5.18326424764666,14.5265899793714,4.31382234296534,8.80922165820643,3.33702562126758,4.02771578567026,2.52879516488245,3.9394655597737,24.6304118268215,2.58230141951072,5.56740688782536,6.76516246959939,3.27502188879516,7.35744374807356,30.912961489154,3.79707088459285,26.4980952054089,12.237599092505,12.237599092505,4.24224767337359,15.6379592767687,3.42061522523985,3.05081863197211,6.92207292408158
2002,10.5088683095275,5.35459331229545,1.68193442016185,14.5217391304348,10.123572344162,2.45226012730633,5.97831325785597,9.00429662635264,8.43222985633979,6.05109083177967,2.76494828683953,10.9110941620306,11.1891024634835,12.2510460446717,2.83410574229878,5.67169414240617,4.85678391959799,14.8420169074885,2.43058315825336,3.87583863805826,2.27838258164852,6.71960993855196,9.87955181493868,11.1046598360798,1.92772162089632,3.64144216008424,1.83768053100297,2.65699201336045,15.92082616179,7.181656163928,17.6731244847486,6.00918099679394,8.67164471095617,7.50639950569335,0.796608746747251,1.97959737615924,5.09935856096759,12.4991348882276,4.83016278449163,8.7023831863389,3.26615832347257,3.8071995118975,4.92407720221644,4.49696748041815,23.7260568031704,1.86393027832443,5.39754337819723,6.91875585610365,3.31542282636899,7.14627855563744,27.2086274509804,2.97798420808175,30.4262984088862,11.6324837980835,11.6324837980835,3.76830670529372,13.5832091405862,3.09862757421184,2.73210420061781,6.91735183380197
2003,11.1102869895055,5.28148237608047,1.82318437443309,15.9146841673503,9.87597269802709,2.39228116618482,6.70681042049184,9.1545834357336,10.843989769821,6.09743494346954,2.76081510533127,12.1655184384437,10.9738076621043,12.4455310135008,2.73465479119305,4.27702702702703,5.67626321974148,11.9771103003648,2.99363467944148,3.93403524955552,2.33670886075949,5.35264831143903,9.1001192394033,12.1257682304056,1.79845222072678,3.61236604001283,1.74410023406306,2.68290318170404,16.0666666666667,7.17968137292593,17.6671085021776,5.77889447236181,6.8702757291061,8.55321741575667,0.754260022852601,1.79823558885955,4.53087520483051,13.3974309668487,4.87917896615638,8.37180473625716,3.23025374332484,3.61833083540313,2.45931008565616,4.1336572883415,23.4499845153298,1.88441522870446,5.10037590157878,7.32468433366599,3.16275978733688,6.79839502129053,26.2324626865672,3.885949441505,30.1215182460378,11.3915265324284,11.3915265324284,3.70693894520757,12.5364452458136,3.00479051981342,2.71751203258053,6.86561118143854
2004,11.2576726449649,5.23522482531062,1.65790767717745,15.527950310559,10.1051512216247,2.34513757958303,5.86350593423623,8.478110797906,6.89443535188216,5.95841131926439,2.82151151446051,13.0299481983989,10.8797908196963,13.0956162964777,2.68636744635346,4.33898305084746,4.96579042131797,13.2733741846215,3.04566277841148,3.97160816369336,1.88438661710037,5.4724242982751,10.1174301927422,14.8958034123966,1.73026302961764,3.57956941551784,1.65668452117969,2.75134806492249,13.6259416966918,7.37958398806064,16.9712902687364,5.594646799117,4.95603828515233,8.02741653073136,0.696467863346844,1.70253943926221,4.37778511305496,12.266548632132,5.504788820851,8.82774140752864,3.26874050476763,3.25382731219858,2.67723748453569,4.11729639410069,23.0688542227004,2.00101703534198,5.57123548303687,6.75600981352366,3.27281550626588,6.06443308358329,25.9907192575406,4.7557003257329,30.5625268894307,12.4140810589053,12.4140810589053,3.6844637349264,13.1508263595692,2.78157558785982,2.62746871702096,6.56376667436567
2005,9.81309694966163,5.19949728244568,1.66192198199585,12.9010695187166,9.47922027308811,2.11453306134634,5.17451307801862,8.22651996370236,8.10162522028588,5.94497653298737,2.8740606824262,12.5179149358813,10.2287553421646,13.0350201445636,2.55942668842179,4.03093721565059,6.48268769283511,12.0645450105811,2.97754417195025,3.79724453303837,1.88834793898085,6.22584767234352,10.4231271973317,13.6125421078726,1.63714925850848,3.38888254301182,1.75622623574144,2.73547073979519,12.3342939481268,7.41092217378381,15.4446119065561,5.1344860710855,5.02325926888829,8.45817437424397,0.688597713967103,1.60902571956644,4.70195467459185,10.5128564422336,4.13283814130247,9.46420269642027,3.2792964836973,3.07086386644019,2.23122494768952,3.77164703203461,25.1889500119589,2.01406649616368,4.86510663386667,6.81864088876064,3.40993428421067,6.21336067342974,27.4614614210136,4.11167512690355,33.6977063030348,12.1980963715634,12.1980963715634,3.60483050633727,11.0755281840732,2.74225830690153,2.57289066252379,6.31396022818637
2006,9.02965197793677,5.26488701791899,1.55982953492681,12.8665077473182,9.77435613164746,2.16466316605627,4.91462443690633,8.07113543091655,8.24929228591649,5.07503851812456,2.90352212845166,13.3799314118171,10.1873122882247,11.5882211265148,2.76439698138777,3.79337960491191,6.48674087412015,10.2712119141959,2.98871031494201,3.73536019722208,1.70445235756385,6.16937288894315,9.47841178366452,14.3206776923474,1.52893028052141,3.18315246905678,1.90467075038285,2.73163525325929,12.8129829984544,7.31758694630637,11.1004784688995,4.55896406727829,4.56305309734513,7.49444844087199,0.685060135054141,1.37873331832921,4.38251241800326,11.0609041957795,2.99903389586631,9.45974798739937,3.2113835562968,3.27753926602165,2.82849656539905,3.56885099919389,23.6219512195122,1.92710430930326,5.20909236011353,6.88694606578321,3.34887438390835,5.44971994829815,28.7812418810081,3.24592713876381,30.928423582827,11.4461294600673,11.4461294600673,3.56440840065625,11.5276800556152,2.63075457585076,2.46855169232407,6.18318869012024
2007,8.36451242829828,5.28441792672981,1.82864212363054,12.6624737945493,10.3575151103263,2.26102797969689,4.56028846597294,7.57865689078677,8.11937312437479,6.19886562666449,3.07845153858812,12.0734841791168,9.62772673372771,11.6691799902649,2.63603450235296,4.26474375482874,5.87850593311758,9.07966144588477,2.75834901677254,3.62884475897069,2.05891391653571,5.69224307939522,8.85118354940573,15.2530831917986,1.42747309072271,3.09307315471865,2.01485238276224,2.67184044786564,16.049112036834,7.45530866961437,11.9362244897959,4.65191447041273,5.97508629512739,7.56508388713066,0.654172877642284,1.70104494941118,3.7835057438418,10.6525424643925,3.03403083135148,10.0091837370027,3.17281396219706,3.18746386465725,2.04228294476477,3.56074219436592,21.8638275499474,2.28386590864536,5.2572278005804,7.10203832166977,3.09298131163897,4.32116133504598,28.9514723819481,3.50447966919366,39.2225615842217,10.2470550222113,10.2470550222113,3.472430389101,13.8673058776832,2.68796044314636,2.43806867620535,6.16252580878196
2008,7.68615179300744,5.12611053421022,1.7459147315395,11.8416447944007,8.13035028848964,2.40650843509762,6.20932806837847,6.45590327169275,8.35368832437714,6.6857141398777,3.21213682290467,11.8564495477565,7.64650828265653,13.145992483681,2.68792635456182,3.91845979614949,6.06203214442977,7.94308856442502,2.90555542456283,3.55947156743481,1.66336976068613,5.86690615323348,8.8887836430656,12.9836313037151,1.38841063857125,3.21045073151802,2.69970615790818,2.66176386450202,17.6524446072148,7.46820811400407,7.44142455482662,2.85506696992671,6.12871177067267,6.77874761060316,0.677953141249159,1.40811007235611,3.15461109061647,10.4111188654889,3.04237085339954,11.0491284472799,3.00344500261308,2.98819980894714,3.4012644964214,3.44664850554426,19.3872870249017,1.70602409638554,5.32796736265979,6.99126907502205,3.12292195157993,3.96918180529077,27.5619651956543,4.26123936816525,27.9504558223353,10.1559148215469,10.1559148215469,3.30003283872273,16.4404414053479,2.37478695093144,2.41246066640218,6.08820558826397
2009,8.75745061648073,5.09118286415554,1.53927540878487,14.0841248303935,9.7293875642094,2.13561075511734,4.91732399394523,5.98189415041783,8.44258214404248,6.28633922288823,3.17257451065171,9.11489406007601,7.39929181221497,12.5733855943156,2.38816148950943,4.15627051871307,6.3355658426081,6.92352961539793,2.88557054173174,3.67118339009668,1.92634377528609,5.96260576481486,10.3147347654176,15.6906708771866,1.28251595122135,3.04085840104199,2.39430144878019,2.5150689481741,18.5058999501413,6.73309160558223,9.41434789367325,3.9893722685737,5.90108619898349,6.05871411662179,0.658230911975903,1.80449444184794,2.31571964752657,10.8120335759434,2.67571308289408,10.5574043261231,2.91820797369503,3.01524779916837,3.27818978939605,3.5024317448331,18.1956155143339,1.81702990369995,4.95535383749685,6.25907404420068,3.05451821246552,3.51962320133622,25.9463374640151,3.17877969762419,23.4068104184458,11.2068662254642,11.2068662254642,2.93821039536366,14.5576697478223,2.2593490910363,2.30611253076646,5.94956792136061
2010,9.09097961637672,5.02028065651807,1.55432460438281,10.1181353767561,11.1722830540773,2.02398110950964,8.8414565782869,6.16589010073665,7.87858621709553,5.65586255919795,2.7734066840798,9.60621888422914,6.96911788461849,11.9831563586611,2.46787033157623,4.25757254818894,7.47897476972367,6.13303427490012,2.76742415395532,3.46229009915239,1.42196981989291,5.19327660291516,9.86423078543245,15.9675403993929,0.885683249254336,3.00533017765601,2.59213078236892,2.51433216237335,17.9299724428595,6.35920263208825,8.39527027027027,5.51754479522184,4.64324604918564,5.60134991856273,0.610134711988168,1.63593453471963,2.41642294421055,10.9135285913529,3.26537932104151,10.501537348526,2.75173932531717,2.81094901029478,3.24994458617827,3.38991973763701,18.4698416852021,1.76767676767677,5.08244215305867,6.37736789920157,2.86753347064882,3.27792500593308,25.9474893177098,2.13432171979244,32.2008970177074,10.5902576549521,10.5902576549521,3.01378653949354,13.5303583005913,2.40348770013484,2.18778672647569,5.75833450928461
2011,10.5059040731696,4.83693062657808,1.55406732517693,11.4529914529915,10.5570175438596,1.90259081312191,4.76331549182448,6.42520947553533,7.54730608117868,5.63173140563354,2.87019825887948,9.89077890288409,6.16618303065546,10.1778511087462,2.32773923640097,4.30466159547494,8.74463519313305,5.98366155779697,2.77607809543533,3.36006966306541,2.22866129843986,4.57595659623073,9.59276900676337,13.0100180984616,1.15319180412752,3.00147268139019,2.84691908569614,2.52370831203896,15.1539079229122,6.85814183428307,8.96470729944592,3.66899756775539,5.17555008058618,5.73266208074993,0.631770767877341,1.68051328857475,2.20730672558154,9.75643194995147,2.81357891994007,9.29145272024462,2.7326004220056,2.73982149639195,3.34867122054618,3.33412846602453,18.7058566008367,1.8129839189994,5.32854611399611,6.69891795958092,2.98224502769957,3.53220969406633,22.0141526551349,2.35425578350065,32.6285107867651,10.3543141864832,10.3543141864832,2.88568280323274,13.5262842071477,2.26053070457885,2.20982589553732,5.73539221462299
2012,10.2567292130895,4.5748480922775,1.52004068801971,11.888205402514,10.0977162339507,1.84454979780103,5.12124188816404,6.1137568735271,6.96624644164295,5.18806922928762,2.73273478077143,8.86067175961192,6.03539546180845,10.8481404734915,2.33252902344639,3.83025956284153,6.87690601607985,5.2159270839194,2.75362708944578,3.27642861801385,2.69926018361708,4.55076561125335,9.27261936043424,19.3232892869524,1.20657327297565,2.8205640548868,3.05933319808956,2.47621830292155,12.6399129699021,6.74080402487066,8.79514568240706,3.58454977857963,5.14743164843275,4.95811846491353,0.624976596143044,1.68706487616547,2.56326232177872,9.83284827740957,2.96474635857603,9.03661272232014,2.62725416309768,2.80582138367708,3.38615848101172,3.28579108820088,27.3964029885235,2.31728159243993,5.16174622601833,6.25044041278806,2.87561681129828,3.50769282564051,23.0993743989847,2.4264049955397,31.4036000986328,10.0350224084102,10.0350224084102,2.87773774142704,12.0913588178606,2.26453174016852,2.11335348855471,5.53636674328506
2013,13.2187285904879,4.50561734754666,1.4537368568918,12.4710804824022,9.21386274351678,1.79797704903161,4.7910519336756,6.16762520968129,6.78153360515586,4.89334303122802,2.50837990296678,8.62979750476974,5.96763139559939,10.9081386001619,2.19857958501601,3.79029684008937,6.56284563122136,4.54170429223863,2.69969936340848,3.23247961040755,1.85626420295794,4.55281768428254,9.29598164191357,15.6112745227937,1.23589954713874,2.74578841236868,3.25726624447807,2.4254314883185,12.4805352798054,6.00672691169915,8.57637598853564,3.33916462270957,4.55483355969483,5.39701455092825,0.78233459274229,1.82853465092516,2.55766307794877,11.5562153589146,2.89502695130493,8.3699953315697,2.48959168369062,2.70173114240646,3.32059203406989,3.23384640588581,24.806078893141,1.79037644201579,5.45833472295863,6.86566306320977,2.88678447222483,3.7819225244428,25.2655483777573,2.7428949107733,27.6009582477755,10.0636554746454,10.0636554746454,2.74290391053193,12.517053371297,2.19810209018173,2.18903091390281,5.46083727867526
2014,13.4377416098986,4.82267052208294,1.42919429974528,15.5508830950378,9.67347446019768,1.74633706581455,4.38524512900119,6.14716003480737,9.05517941773866,6.07970793192482,2.57991356740854,8.24692372539157,5.98954268298033,9.94286365039494,2.08135655194479,3.7495992305226,5.73141837065888,4.39500301932367,2.53506388293473,3.25614597135517,2.3131950706342,4.63681558840212,9.50479107132916,14.8031381432195,1.2262156448203,2.52277541156925,3.20805327170309,2.49499036483098,11.8145681134508,5.12034357468412,8.09731167056987,3.77094565059012,4.43171970932116,5.5273466332966,0.655648816882469,1.83796611695196,2.67464102108314,11.0783072330923,2.43235519994285,10.3508810846303,2.51640607582176,2.64848443127623,3.1028480644915,3.23330512682439,21.3934426229508,1.78982787627799,5.49240502496229,6.19746188554642,2.52996154190144,3.99254349443696,26.5526038926881,6.81071737251513,23.8690569667465,10.3541007033794,10.3541007033794,2.76599880798012,13.510571601522,2.26747263716707,1.97294092381815,5.30106996551845
2015,13.565595840971,5.23886768239585,1.36811785600437,12.7247125088008,10.5059748939552,1.69264376750606,3.94577677069237,7.14147874510669,8.47865764979639,6.14369172003146,2.88044713216989,7.62996327965248,5.60489058683456,9.94316974055882,2.03831120877537,3.89833175952156,5.27398700144811,4.07148669740885,2.56676520588555,3.29635971187032,2.10977500804588,4.81475735041504,8.83048754242221,15.5491041230566,1.17643979742727,2.40122699828436,3.14252691439486,2.53995917978834,12.8025904421617,5.04965524809335,9.20434550786457,3.57580845375263,3.99464853886164,6.08663656589902,0.58186410219049,1.69724005310754,2.80815974289609,10.4176215192766,2.57078164426407,10.3677554412595,2.52558447643514,2.65389609004107,3.77967063844111,3.10792988037247,21.4885014836795,2.01179125118276,5.21823526696024,6.11962083244294,2.75533673127377,4.24646504481855,32.6525781741553,4.0613414223121,20.9549507845239,9.9937291433128,9.9937291433128,2.88372665994218,12.5436498685403,2.20396284529382,2.00638205646091,5.0734495500073
2016,15.2039204276632,5.60746925331164,1.45739672398483,13.3509669811321,10.567240412765,1.68438746164385,3.83296309077707,9.96490448689471,8.99423107955462,5.38717775711047,2.85661155873435,7.58538610766889,5.47672632311926,10.2392679599669,2.18686434931971,3.72723167243715,6.09784968593353,3.81604383163696,2.55118058194676,3.38228115001895,1.46506559216099,5.15032589736528,9.07949825233342,15.406504480658,1.19337497035339,2.71980198614624,3.34044890693664,2.49673620739849,15.6081500807554,4.92144107821081,10.9103382616487,3.63992759668673,3.70148797031121,6.05632027782056,0.728947221238278,1.80995539217111,2.17733875494585,10.4447830178413,3.20083806421804,9.50873417144939,2.66600251643934,2.84069545005759,4.43562176890317,3.20846729269457,23.6760940409683,1.82508104921898,4.88761450205779,5.49987079528509,3.43714121699196,4.48779835416745,27.7478149611103,4.07479765559587,19.8111632229305,10.2106538644794,10.2106538644794,2.67799149633988,10.8666383875778,2.15970009197923,2.04970045988619,5.00292590089719
