Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,252714846186.879,254046171785.085,260148662438.995,267089385643.72,273007465269.592,278865754355.301,288606201307.485,299463348574.799,309014799991.68,313084486617.415,317731815610.858,321358930858.678,329602607197.97,337250591613.85,348276446973.261,361424665131.865,366677270021.069,353527252232.556,359922498957.786,370459114608.076,372786509841.892,371851835102.085,374662287839.195,379546097300.633,387581921933.047,396388752620.721,406235924727.366,413365269561.549,387247796564.086,405817602863.188,427236226636.132,423156281454.21
Azerbaijan,15556170225.3742,11962695102.6124,9606044019.06944,8472530910.53572,8582673761.93048,9080468852.82118,9988515702.82903,10727665994.6477,11918436828.1641,13098362058.1026,14334705485.3859,15798035139.5108,17259953999.1872,22086102614.13,29705808016.0049,37132259975.9133,41127311680.0779,44950656172.1802,47220189860.7658,47267410115.7076,48290862738.2682,51096465688.5745,52501877459.7444,53076235354.746,51430872122.2426,51533733835.093,52306739842.6194,53614408373.9591,51308988759.0274,54190732985.9123,56745718946.4579,57383526259.1424
The Bahamas,7886416504.77103,7910691414.96168,8159792440.42319,8517089517.94572,8876811379.71544,8991122802.80373,9415215953.24133,10087848763.9878,10506335029.8288,10782232420.1522,11073887089.6006,10933811645.1092,11030288728.3407,11404886621.6495,11691901110.7421,11860977682.4575,11585370303.4063,11101631501.3115,11272448140.6603,11341567493.8773,11681576709.4504,11347097042.1347,11556707522.6666,11671900000.0,11559626969.4738,11883240881.123,12195757028.0878,12030228260.9362,9452936752.71722,10908986680.2055,12085195064.0679,12404130127.1916
Bahrain,11207769805.1897,12650210526.6376,12618584812.5232,13114494128.7944,13653500639.4551,14075803385.1149,14750034759.7734,15384286101.099,16199664042.0741,16603189267.0808,17159155472.1832,18239571740.523,19512869056.2977,20833694747.3041,22181009812.0285,24020693992.7158,25520788920.7817,26168987849.2987,27303230073.1892,27829679463.9972,28888050241.9569,30416985616.3829,31727610007.9685,32523297872.3404,33764059498.7261,35436675410.8102,36164044588.1584,36906448210.9064,34724774104.3146,36235315986.0804,38402659963.6336,39547363674.0058
Bangladesh,57671277832.2235,60388495684.6196,62737684522.6707,65950655693.3725,68933550573.3629,72028595646.2459,75757535399.2044,79295530763.5123,83492876905.7611,87732050538.1162,91094928770.2862,95412434316.9993,100411600213.555,106974447115.636,114111680586.242,122166366935.51,129513195397.247,136047297736.462,143627564998.204,152912195327.661,162884301114.117,172679520662.469,183145728910.398,195146608978.131,209028320490.615,222803809377.443,239111739541.452,257958323968.613,266852772253.895,285368829855.224,305629528154.311,323279976841.364
Barbados,4084033082.71274,4116422242.12917,4199194538.41561,4283766232.44741,4454109219.0079,4665238554.46317,4839180336.51438,4855374916.22259,5071302645.6655,4951342795.97499,4990329747.12439,5098893411.09429,5170869320.9086,5375400864.63085,5701717027.29724,5820266209.13528,5857135329.11833,5563266686.3353,5439889540.40666,5400100308.35573,5383181191.92017,5328790506.40994,5333181721.68845,5288057750.0,5382816060.91822,5389730072.92036,5326451133.48749,5361210776.86546,4554114648.02364,4542503209.52524,5352561584.79213,5571685827.33474
Belarus,26290093194.8008,24292045612.7094,21449875344.3062,19219088195.1365,19757223553.9961,22009548117.5155,23858348254.1093,24669531913.7696,26100365593.8692,27333687748.3434,28712745414.3511,30735039349.3483,34254122383.3863,37474010431.5993,41221409496.6336,44766453433.5522,49332631447.7309,49431294367.0231,53262228116.6552,56218268314.0174,57178393454.1458,57749445092.7997,58702960436.3191,56454889146.6088,55028586612.0854,56422011402.6863,58198852028.1251,59040672510.7894,58643480548.472,60073714183.7453,57275242735.7789,59501097357.3809
Belgium,305140504133.549,302205439784.666,311957523308.047,319396952585.876,323617567359.636,335894554944.544,342484242694.343,354617493993.784,367797580691.145,371841896085.61,378188843495.686,382114274583.92,395760365571.447,404948884226.677,415284559325.884,430554260439.959,432478428732.474,424233483110.434,435731531622.915,444146182789.14,445104666566.067,446464436746.25,454346946668.411,461044767544.531,466547349016.531,473426438780.183,482317238512.932,494099718421.514,470417598481.151,499595504127.06,520745539238.467,527263714444.414
Belize,948552072.962837,1006774198.20434,1006574807.36447,1013952268.4396,1025168003.18218,1068585358.56347,1110158348.67599,1214788691.89681,1363484410.72849,1431576382.54347,1508840332.99239,1654694732.35595,1733803048.07364,1772285480.1682,1852241206.95534,1914351453.57427,1882149832.93556,1874822219.57041,1895708410.0466,1891072573.01966,1961756625.75293,2049139661.32515,2131737316.74054,2193050000.0,2194246345.03921,2154467872.48551,2178394773.26969,2271360752.35822,1955575509.71701,2302615266.50756,2524886205.2506,2553897572.45142
Benin,4247544481.2222,4495438486.53384,4586264345.8381,4863513136.1772,5073825258.08595,5364793325.34003,5577293440.15288,5875201745.58899,6219354272.83818,6551040876.248,6855207726.48731,7091272067.69746,7405393051.15179,7532259620.7003,7829312267.99952,8298002249.85464,8704320326.47543,8906198943.57193,9094481753.90847,9364019722.36167,9814543622.52956,10520350022.2065,11189200116.5963,11388160997.1089,11768488383.6733,12435945493.1089,13268812303.0524,14179807375.1016,14725558723.7319,15779238957.7761,16765953415.3733,17831064526.9239
