Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Mali,1.5637934999999998,1.5637934999999998,1.4380263,1.4970171,1.4284105999999999,1.4968522,1.4046322999999998,1.4922899,1.4786496999999998,1.2951722,1.2688504,1.4193331,1.4219988,1.384312,1.3914154,1.3550339999999998,1.4657149,1.4186643,1.3745668,1.2410333,1.1964057000000001,1.1613791,1.5159338,2.3601745,2.5861308999999997,3.0286011000000004,2.8235955,2.7527166,3.3995582000000004,3.4086796,3.1396604000000004,3.8276855
Mauritania,2.6890664,2.412423,2.2408619,2.2601546,2.6263412,2.9672601,1.862441,2.2736379,2.9280054,4.0023844,2.7393834999999997,3.9952756999999997,3.8381201,3.0515558,2.6936472,2.8764906000000003,3.059334,3.1353242000000003,2.7952077,2.4550912,2.1149747,1.9965973000000001,2.1970951999999997,2.1555723999999996,2.1454878,2.1210985,2.1312823,1.9963330000000001,2.3892692,2.2939949,2.2790523,2.5486318
Mauritius,0.3544241,0.3302542,0.3331456,0.3328256,0.2933902,0.23407889999999998,0.2028148,0.20813530000000002,0.2007188,0.1945804,0.19627,0.1871028,0.1662168,0.16067410000000001,0.1538565,0.142725,0.15595209999999998,0.1677772,0.1486896,0.15203529999999998,0.1427944,0.1887332,0.1510175,0.1423019,0.1747018,0.1653763,0.1563853,0.1487967,0.16161540000000002,0.1713771,0.1388004,0.15277680000000002
Mozambique,2.9684454,2.8708839,3.3035017,1.4604823,1.1116816999999999,1.1027414,1.1392117,1.2458694,1.2844579,1.2421712,1.2736356,1.2809422000000001,1.3624211000000002,0.9462319,0.8094673,0.6689539,0.6649217,0.7054226,0.8919023,0.8265532000000001,0.8507260000000001,0.9301822,0.9807595,0.8402853,0.9295846,0.9879644,1.3237651,1.3991491,2.0339500999999998,1.9588207,1.4998283,1.7319324
Namibia,4.2504188,2.4645238,1.7512339,1.9478986,1.903604,2.3013551,2.3218372,3.1240331,2.7067328,3.0087409,2.6178454,2.6249129,2.5275897,2.6452052999999998,2.5012494,2.6104246,3.1372616,3.3743637,3.5147440000000003,3.5745890000000005,3.1665426000000005,3.2064163,4.325867199999999,4.5280002,3.9710449000000003,3.5223885000000004,3.3326923,3.2974262999999997,3.4801526,3.2150484,2.9172361,2.7395435
Niger,1.232372,1.232372,1.232372,0.9709763,0.8614014999999999,0.9325945999999999,1.0612245,1.1669081,1.1646108,1.3201598,0.963348,0.9317636,1.0911873,0.7152118,0.72329,0.7313681999999999,0.7394464,0.7352624,0.8765032,0.9760420000000001,1.6239843999999999,1.0452312,1.3385981999999998,1.4691222,1.5996462,1.8098429,1.7938088,1.9173360000000002,1.7336075,1.3537028,1.6643784,2.0701359
Nigeria,0.5640107,0.9332183000000001,0.7814523,0.4835588,0.40617780000000003,0.4358358,0.5483124,0.8554156,0.5435316,0.7803159,0.954338,0.5707075,0.49099679999999996,0.3974229,0.3483754,0.3703548,0.4890841,0.5058556,0.5392311000000001,0.579227,0.5042649,0.46969530000000004,0.41471879999999994,0.41763649999999997,0.43294780000000005,0.4306712,0.5069445,0.4591705,0.6320229,1.0127019,0.6501667,0.8073311
Rwanda,4.2906021,4.5363754,3.4378770000000003,0.6078029,5.3285561,4.1735256,4.3776473000000005,4.4481054,3.5355030000000003,3.3962263999999998,3.0489335,2.4471298999999997,1.9734660000000002,1.7430556,1.6439104,1.3656783000000001,1.3064972,1.3269024,1.2167927,1.094931,1.0422495999999999,1.0548853,1.1027388,1.2136947,1.2405068,1.2488952,1.235147,1.1979312,1.4738693,1.5139753,1.3338546,1.2661524
Senegal,1.4439999000000001,1.668304,1.3476197,1.3100991,1.2439179,1.1969122,1.1791418999999999,1.2021268,1.0483603,1.1156675,1.1012404,1.1154427999999998,1.0578249,1.1304645,1.2710569,1.3795917,1.2919669,1.3358759,1.2153093,1.2938602000000001,1.1134796,1.2517013000000001,1.213366,1.2090992,1.6020975,1.4710625,1.6669276,1.5247370999999998,1.4119089,1.7791764,1.5381056,1.4677605
Seychelles,4.7273873,2.7596134,2.4436855,2.2811803,2.0957485,2.02481,1.7329156,1.7829253999999999,1.6793328,1.7782655,1.6773755000000001,1.7343164000000002,1.8976401999999999,1.6023524,1.41343,1.4682836,1.1501932,1.0208783000000001,0.7379154,0.8555040999999999,0.9366796000000001,1.0365589,2.2275617000000003,1.278346,1.4711447,1.413343,1.3144183999999999,1.2874876,1.5727091,2.7775504,1.3329241,1.706913
