Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Chad,7.6747149,7.6747149,7.6747149,7.6747149,8.7755666,6.1043914,6.1964335,7.215531899999999,7.480315,8.707483,8.5265787,6.8371158,7.9280713,7.2281242,21.501807200000002,26.2937142,31.312578000000002,32.9583133,23.670935200000002,22.3981689,23.460283150000002,24.522397400000003,12.7697108,11.0076135,21.1365044,14.766433500000002,17.2009726,14.932422500000001,15.4179356,14.9479752,14.595811,15.3409823
"Congo, Dem. Rep.",14.933333300000001,14.933333300000001,14.933333300000001,14.933333300000001,14.933333300000001,12.669735300000001,3.4712083999999996,12.164572399999999,8.8477492,9.094124866666666,9.340500533333334,9.586876199999999,17.9390471,15.8233425,15.669636500000001,12.596317100000002,6.9276623,5.2626827,5.3497942,6.608049,8.2598808,8.9899488,5.1392117,7.5189455,7.3644266,7.4234964,5.09518,5.2091122,5.8077073,3.4281040999999997,3.2519988,6.963150199999999
Ivory Coast,3.8043069,3.8043069,3.8043069,3.8043069,3.8043069,3.8043069,4.494093383333333,5.183879866666667,5.873666350000001,6.563452833333334,7.253239316666667,7.9430258,8.1139008,7.7817795,7.5137053,7.7538369,7.5513096,8.7009124,7.7915517,7.630883400000001,6.8185673,6.2747814,7.0184913,7.5376286,7.08641,5.3337136,5.9178389,5.1614785,4.7282668,4.2837419,3.9179417,3.9706749
Ethiopia,17.0178359,15.6974516,11.4547505,9.008002900000001,7.8791446,15.0983328,28.8047316,36.1653941,29.5303771,19.233519700000002,14.842016899999999,11.9771103,13.2733742,12.064545,10.2712119,9.079661399999999,7.9430886,6.9235296,6.1330343,5.9836616000000005,5.2159271,4.5417043,4.395003,4.0714867,3.8160437999999997,3.7544971000000005,4.011659900000001,3.7774900000000002,3.6054792000000004,3.5656512,6.8506336,7.5371175
Ghana,2.5635211,2.3333333,2.2176074,2.4107787,2.1492308,2.233765,2.6299406000000003,2.7827465,3.440062,1.7894981,2.2783826,2.3367089,1.8843866,1.8883479,1.7044523999999999,2.0589139,1.6633698,1.9263438000000002,1.4219697999999998,2.2286613,2.6992602,1.8562642,2.3131951,2.109775,1.4650656,1.7784976000000001,1.5595735,1.5287184,1.1137396000000002,1.4065236,1.249053,1.9150304999999999
Guinea,8.783118199999999,7.2461768,7.7170994,7.374967466666667,7.0328355333333334,6.6907036,8.4964618,9.90163,8.9921613,15.3614106,16.7451506,11.9687522,12.4167606,12.290868012499999,12.164975425,12.0390828375,11.91319025,11.787297662499999,11.661405075,11.5355124875,11.4096199,12.6059536,11.1022258,11.6015111,11.663242,10.1748231,10.4162532,9.8354964,8.6329452,9.958547900000001,15.797694700000001,13.817006500000002
Guinea-Bissau,1.0826026,1.0826026,1.0826026,1.9651074000000002,2.2940563000000003,2.044316,5.6282895,8.005866900000001,10.3834443,7.86319,9.745111,7.977176699999999,8.68591885,9.394661,8.926719049999999,8.458777099999999,7.99083515,7.5228931999999995,9.8329876,8.7569514,17.9878294,15.7626346,8.2486363,6.878063099999999,6.1638216,7.2263737,7.0071434,8.0788472,6.347447600000001,5.966819999999999,6.7662923,6.407471000000001
Kenya,5.8855208999999995,5.3308871,4.9752618,5.4098673,6.2131402,5.7552469,5.433006600000001,5.9713055,6.4532055,6.9942991999999995,7.1816562,7.1796814,7.379584,7.4109222,7.3175869,7.455308700000001,7.4682081,6.733091600000001,6.3592026,6.8581418,6.740804000000001,6.0067269,5.1203436,5.0496552,4.9214411,4.9171498,4.93776,4.5597278,4.4698583,4.4854578,4.4302702,4.114340100000001
Lesotho,7.7321029,6.9367209999999995,6.8815592,7.7776045,6.8700676000000005,6.13974,5.6022229999999995,7.0816327,8.4448427,6.5873405,6.009181,5.7788945,5.5946468,5.1344861,4.5589641,4.6519145,2.855067,3.9893723,5.5175448000000005,3.6689976,3.5845498000000005,3.3391645999999997,3.7709457000000004,3.5758085000000004,3.6399276,4.3913987,3.8310677,3.5235246,3.4120660999999997,2.8949178,2.7628719,2.7290077
Madagascar,3.8417961,5.4523204,4.6900077,4.8825081,6.9640008,8.5281253,6.7678266,6.8019362999999995,6.6453129,7.8112895,8.6716447,6.8702757000000005,4.9560383,5.0232593,4.5630531,5.9750863,6.1287118000000005,5.9010862,4.643246,5.175550100000001,5.1474316,4.5548336,4.4317197,3.9946485,3.701488,3.3878278999999996,3.7077498,3.5500568,4.1158755,4.9527276,3.7694681,3.4548117000000005
Malawi,2.1744019,2.1744019,2.1744019,2.1744019,2.1744019,2.1744019,2.1744019,2.1744019,2.1744019,2.1744019,2.1744019,1.885974,2.6135209,4.2577364,3.0975769,2.597564,2.8752704000000002,3.3429254999999998,2.6021652,2.7567085000000002,2.8974368999999998,3.909852,3.1780663000000002,2.3094864999999998,2.2892935,2.5252015,3.0415977,3.9389227,3.6705375,3.0878183,3.4979853999999997,3.9581364
Mali,7.6251281,7.6251281,7.6251281,7.6251281,7.6251281,7.6251281,7.6251281,7.6251281,7.6251281,7.0611011,6.3635472,6.8191005,6.5352689,6.398599000000001,6.304140900000001,6.305500899999999,7.7272288,6.2124814,6.7842478999999996,6.0356261,7.7032935,5.8807144,7.5951854,11.2717982,11.618669299999999,13.2134003,13.904255400000002,11.891117,13.017784800000001,12.568768799999999,12.3820927,14.1833493
Mauritius,1.2533474,1.2555284,1.1088542,1.1090555,1.0323653,0.8257652000000001,0.7305919999999999,0.7162404,0.853125,0.8210103,0.7966087000000001,0.75426,0.6964678999999999,0.6885977,0.6850601000000001,0.6541729,0.6779531,0.6582309,0.6101347,0.6317708,0.6249766,0.7823346,0.6556488,0.5818641,0.7289472,0.6818974999999999,0.6430710000000001,0.5349133,0.49521519999999997,0.5558567999999999,0.47500090000000006,0.524061
Mozambique,10.114632499999999,9.9696576,10.736944900000001,5.827865699999999,6.009154,5.2100118,5.9384834,5.7607915,5.4292523,4.3138223,4.8301628,4.879179000000001,5.5047888,4.1328381,2.9990339,3.0340308,3.0423709,2.6757131,3.2653793,2.8135789,2.9647463999999997,2.895027,2.4323552,2.5707816,3.2008381000000004,3.3990568999999997,4.2230352,4.9577057,6.1865555,6.2128647,4.5513442,5.6261353
Namibia,11.5228673,6.8514644,5.6118201999999995,5.8331369,5.5270793,6.5829918,6.5839119,8.6851478,7.788473199999999,8.8092217,8.7023832,8.3718047,8.8277414,9.4642027,9.459748,10.0091837,11.049128399999999,10.5574043,10.501537299999999,9.291452699999999,9.036612700000001,8.3699953,10.3508811,10.3677554,9.508734200000001,9.2468366,9.1734809,8.8131158,8.390537,8.2031738,7.9866966,7.478684500000001
Niger,6.430733299999999,6.430733299999999,6.430733299999999,6.430733299999999,6.6726646,5.8782447,6.1338115,6.2242445,6.673262200000001,7.41154,5.1783846,5.1931073,5.257905,4.8280732,4.679897333333334,4.531721466666667,4.383545600000001,4.1034369,5.9808923,6.262796499999999,9.5096285,5.0837263,5.6963458000000005,6.99735085,8.2983559,9.276835499999999,8.477998000000001,8.8923071,7.749393899999999,5.5948446999999994,7.286514700000001,10.2253497
Nigeria,1.4702571,1.7996069,2.3485484000000003,3.8694235,3.6668713,3.197134,3.4880126,4.071968,2.196817,2.5287952,4.9240772,2.4593100999999997,2.6772375,2.2312249,2.8284966000000002,2.0422829,3.4012645,3.2781898,3.2499446,3.3486712,3.3861585,3.320592,3.1028481,3.7796705999999998,4.4356218,3.5917506,3.9544166,3.6667340999999998,5.2315763,7.591828100000001,4.5173351,5.524900499999999
Rwanda,17.8080341,19.769509,21.4366303,21.3277996,23.7203103,21.1439513,23.1308252,16.7596725,16.2590564,15.175237899999999,12.7068125,11.4235749,9.704422899999999,7.6867011,7.9849321,6.0944438,5.8152693,5.944827200000001,5.1055878,4.4350958,4.2426105,4.0325263,4.0132942,4.5656694,4.9367056,4.9772865,4.6823747,4.2465265,4.4043915,4.7909917,4.4938089,4.5541638
Senegal,8.7661299,8.7661299,8.7661299,9.299792799999999,8.234261499999999,8.583523399999999,8.7376726,8.1226828,7.435940400000001,6.7432234,6.8729610999999995,6.4853686999999995,5.8928646,6.0553126,5.9720151,6.2222409,6.1702617,6.3255799,5.6008320000000005,5.5646405,4.8472223,5.6662952,5.2526993,5.2691164,6.685688900000001,6.5488105,7.3913749,6.302529399999999,5.3101248,6.796022,5.7222277,5.5036404999999995
Seychelles,9.3250444,4.5276653,3.8402556,4.2957198000000005,3.5453315,3.6986443,2.8551724,3.1718415,3.030303,3.7970709,2.9779842,3.8859494000000003,4.7557003,4.1116751,3.2459271,3.5044797,4.2612394,3.1787796999999998,2.1343217,2.3542558000000002,2.426405,2.7428949,6.810717400000001,4.0613414,4.0747976999999995,4.1158123,3.6892725,3.7507704000000004,2.9849664000000002,6.3633159,3.7571725000000002,4.430109
Sierra Leone,15.355623600000001,15.355623600000001,15.355623600000001,15.355623600000001,15.355623600000001,15.355623600000001,15.355623600000001,15.355623600000001,15.355623600000001,14.3598173,10.810621,10.911693999999999,8.7487358,7.911225400000001,8.935675,10.3987838,5.8393314,6.157194400000001,4.8076923,4.0262506,3.8498925,4.113614,5.515834900000001,4.4522881,4.781441,4.5227147,3.4110024,3.1619953,2.1350179000000002,2.2495257,2.3329524,2.3463257
South Africa,5.5045535,5.5045535,5.5045535,5.5045535,5.5045535,5.5045535,5.5045535,5.5045535,5.5045535,5.8831112999999995,6.1590163,5.7764357,5.335141999999999,4.9116664,4.6778671,4.3331216999999995,3.9964475,3.8285402000000004,3.5482557,3.5730811,3.6113653,3.5551537,3.4851745000000003,3.3381746,3.2467054,3.1599697000000004,2.9674684,2.8108363,2.7640153,2.4777712,2.3650064,2.2108955999999997
Sudan,11.7763158,20.7575758,19.3786982,16.0878244,13.6410256,12.9303107,30.5441779,47.755281700000005,43.1551872,25.031164299999997,25.3476361,14.861965399999999,28.2012867,16.7661133,19.3402456,20.8506096,25.2584474,29.079839000000003,27.885996000000002,26.692153,25.498310000000004,24.304467000000002,23.110624,21.916781,22.8394729,25.6454738,10.5639127,8.7325319,9.09601,9.4957715,9.4957715,9.4957715
Eswatini,5.836585400000001,6.8123902,6.6443075,7.4910266000000005,6.3974719,6.374663099999999,6.549263399999999,5.6836992,5.7199394,4.9648094,4.8567839,5.6762632,4.9657904,6.4826877000000005,6.4867409,5.8785059,6.0620321,6.3355657999999995,7.4789748000000005,8.744635200000001,6.876906000000001,6.5628456,5.7314184,5.273987,6.0978497,5.566128900000001,5.8644121,5.6452276,5.6663157,5.7794774,5.4269025,4.724687
Tanzania,9.8649342,6.921401400000001,6.3606975,8.602718900000001,9.5748974,9.897170299999999,10.2851374,8.550597699999999,8.8593486,9.6578447,7.8817021,5.7580815,4.8113057,4.435202,4.4322881,4.2740983,3.8613755,3.8674179000000004,4.5242989,4.7459880000000005,4.6677396,5.174409499999999,5.8753345,6.363376799999999,6.4674719000000005,6.3707441000000005,6.3717933,6.1393369,6.1758067,6.0993507000000005,5.926395,6.0268046
Togo,13.5160425,15.4937261,11.3458057,10.8442304,10.9133100125,10.982389625,11.051469237500001,11.12054885,11.1896284625,11.258708075000001,11.3277876875,11.3968673,9.8709362,8.1539635,8.798895433333334,9.443827366666666,10.0887593,8.2038612,7.9433793,5.986187200000001,6.0867045,5.8723697999999995,5.9412385,5.3136133,5.904090399999999,8.6023198,7.9045588,14.7267929,9.361417099999999,10.949269000000001,15.9404091,12.7180735
Uganda,11.9798995,11.9798995,11.9798995,11.9798995,11.9798995,11.9798995,13.4741074,13.8768575,11.9629122,10.7232061,10.068959099999999,10.6114977,11.6939258,12.0165729,11.3340602,10.880343100000001,10.7450844,10.3571267,15.988366800000001,16.757292,8.669320299999999,6.9770635,6.9079223999999995,6.8255042,6.9340867,6.738453699999999,7.409650299999999,9.3754449,12.0901864,11.5362217,9.6557479,9.576290199999999
Belize,4.6996313,4.6996313,4.6996313,4.6996313,4.6996313,5.3994253,4.499822433333334,3.6002195666666665,2.7006167000000003,2.4602847,2.5841378,2.6601011,3.1204441,3.3949168000000003,3.650234,3.6544688,4.9452411000000005,4.4106098000000005,3.7637423000000005,3.5851743999999997,3.5979019,3.6695303999999997,3.7543591000000003,3.2165783,3.5049051999999996,3.677185,3.7922279000000003,3.7261556000000002,3.8357148,4.272539999999999,3.5890763999999997,3.5842158
Dominican Republic,5.8199296,5.8199296,5.8199296,5.8199296,5.8199296,5.8199296,6.0496288,5.9729643,7.3094339999999995,8.1489455,6.4274,4.4365117000000005,3.9671826,4.9451890999999994,4.031982,3.8455366,3.7871742,4.134429399999999,4.159205,3.7765150999999997,3.3012549,3.3112356000000003,3.8320264,3.8586977,3.7352098,3.9032964000000003,4.2441645999999995,3.8607639,3.3777134,3.4914519,3.6088,3.9152560000000003
El Salvador,11.1271755,9.423142,7.529925599999999,6.7413224,5.4975534,5.8934739,5.2551293,5.1756293,4.468434,5.6593335,5.6716941,4.277027,4.3389831,4.0309372,3.7933795999999997,4.264743800000001,3.9184598,4.1562705,4.2575725,4.3046616,3.8302596,3.7902968,3.7495992,3.8983318000000002,3.7272317,3.7620764,4.152946200000001,4.3368882,4.2206676,3.8210847,5.0026623,4.6557209
