Country,Latitude,Longitude,ISO3
Switzerland,46.79173768366762,8.118300613385486,CHE
Luxembourg,49.76570507415103,5.965223432343999,LUX
Belgium,50.65244095902296,4.580834113854935,BEL
Netherlands,52.298700374441786,5.512217100965399,NLD
Portugal,39.63404977497817,-8.055765588295687,PRT
Spain,40.348656106226734,-3.6170206023873743,ESP
Ireland,53.18059120995006,-8.010236544877012,IRL
New Caledonia,-21.26135761252651,165.53447460087543,NCL
Solomon Is.,-8.852497470848528,159.9666154474296,N/A
New Zealand,-41.662578757158684,172.70192594405574,NZL
Australia,-25.730654779726077,134.50277547536595,AUS
Sri Lanka,7.700534417248105,80.66723574931648,LKA
China,36.555066531858685,103.88361230063249,CHN
Taiwan,23.740964979784938,120.97480073748623,TWN
Italy,42.751183052964265,12.140788372235871,ITA
Denmark,56.06393446179454,9.876372937675002,DNK
United Kingdom,53.91477348053706,-2.8531353951805545,GBR
Iceland,65.07427633529105,-18.761028770831768,ISL
Azerbaijan,40.22069054766167,47.553909558006055,AZE
Georgia,42.16201501415301,43.48154265409026,GEO
Philippines,11.763799362297663,122.90267236988682,PHL
Malaysia,3.7255884257737155,109.6981484486297,MYS
Brunei,4.690250542520635,114.91510877393951,N/A
Slovenia,46.12542205901039,14.938152320795732,SVN
Finland,64.50409403963651,26.211764610296353,FIN
Slovakia,48.7267113517275,19.507657147433708,SVK
Czechia,49.775245294369,15.334558102365815,CZE
Eritrea,15.427276751412931,38.67818692786484,ERI
Japan,37.66311081170466,138.06496213270776,JPN
Paraguay,-23.248041946292087,-58.387387833505706,PRY
Yemen,15.913231950143004,47.535044758543485,YEM
Saudi Arabia,24.123289839105293,44.51636376826477,SAU
Antarctica,-80.49198288284343,20.571000569842635,ATA
N. Cyprus,35.273957681259716,33.5582859592249,N/A
Cyprus,34.90706085094344,33.03955380295407,CYP
Morocco,29.885394698302058,-8.420479544549693,MAR
Egypt,26.50661999974957,29.844461513124415,EGY
Libya,26.997460407020338,17.974352779160352,LBY
Ethiopia,8.653999188132575,39.551255792937745,ETH
Djibouti,11.773044395533926,42.4980197360445,DJI
Somaliland,9.757971805222988,46.23074953490769,N/A
Uganda,1.2954855035097297,32.35755031998686,UGA
Rwanda,-2.0135144658341346,29.91896392224289,RWA
Bosnia and Herz.,44.1807677629747,17.816883270390086,N/A
North Macedonia,41.60592964714007,21.697903375280845,MKD
Serbia,44.23303653365162,20.819651926382583,SRB
Montenegro,42.78903960655908,19.2861817215929,MNE
Kosovo,42.579367131816994,20.895355721342227,N/A
Trinidad and Tobago,10.428237089201879,-61.33036691444967,TTO
S. Sudan,7.292890133516845,30.198617582461907,N/A
