Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1700681729358.16,1837101175361.76,2042375450907.36,2272286403096.39,2520050769896.81,2768858959910.77,3019738058612.22,3241392534350.25,3335197340371.32,3547980233876.62,3819287443495.18,4085794515386.4,4415044639524.02,4810055705693.93,5248715977634.36,5772425823000.59,6411894455428.63,7212431510845.17,7833853409719.89,8459689594470.59,9298687151530.44,10102335400774.1,10868166174788.1,11661476041792.2,12476140736249.7,13312998658413,14187189500890.3,15139085335407.9,16127331736943.4,17060169194075,17272323897480.7,18585366744544.1,19214695642285.2,20196064924249.8,..
Ecuador,ECU,GDP (constant 2015 US$),NY.GDP.MKTP.KD,41053840192.2984,42815601069.5925,43720855882.7784,44583563740.6155,46482043534.1577,47529074179.3251,48352157793.1227,50444773789.827,52092567129.0487,49623699371.7399,50165491738.8835,52275588700.0666,54851779632.3615,56433979416.1321,60289773139.5514,63544590361.2542,66303144898.6572,67564514887.9228,72000071699.6601,72785601820.191,75718234074.2169,82140258351.3877,86890603905.3287,93156490881.1886,97093344927.4784,97209558000,96540800718.3398,102304671535.156,103373034664.296,103544017315.435,93971273121.5556,103197765280.136,109581722560.167,112162610913.166,..
"Egypt, Arab Rep.",EGY,GDP (constant 2015 US$),NY.GDP.MKTP.KD,115166183182.723,116462268700.386,121671461981.942,125200896556.846,130175343748.386,136218680413.743,143014263358.949,150869114035.753,159280817658.228,168922784450.9,179683172290.026,186035425185.202,190482051407.276,196565009501.834,204608590453.316,213758163785.626,228387426641.133,244575133305.99,262077623377.432,274326082658.196,288446290408.139,293536132736.607,300070833532.511,306628779736.183,315569804751.572,329366576819.407,343682967575.512,358053111989.023,377141312302.669,398080548973.052,412213064649.087,425777537421.996,453827104224.605,470885106095.168,..
El Salvador,SLV,GDP (constant 2015 US$),NY.GDP.MKTP.KD,12679661440.9982,12869106686.2417,13772770636.8146,14574113893.4325,15257940313.4288,15980263628.1804,16109937378.9353,16615462391.6437,17056150528.9746,17424910257.6837,17621447036.1716,17776447691.3707,18056056716.4359,18338704970.0344,18501810234.6557,18997812331.293,19821747186.6752,20187974224.9399,20622904543.8145,20188015254.5251,20622904543.8145,21401127375.9033,22019127752.9422,22499794814.169,22888906230.2134,23438240000,24033351541.724,24573529736.8617,25166352435.5773,25779775126.5993,23744951345.511,26571731219.3539,27315620697.1628,28274665875.3002,..
Equatorial Guinea,GNQ,GDP (constant 2015 US$),NY.GDP.MKTP.KD,173733397.99699,171957427.660152,231704586.214421,257269046.82918,300152801.145199,352638311.553616,587424889.588275,1468403404.76972,1817508712.76923,2283954429.45661,2699948863.55525,4411173089.8169,5269712387.32535,6005113941.93001,8286980786.09409,9674942387.18021,10420388726.5973,12012844402.6491,14151023687.8999,14341122354.4363,13061295371.1388,13913404306.2274,15070007775.4052,14447134439.884,14507099626.4903,13185496881.0174,12023008461.8485,11341603434.7324,10634279338.5817,10051326714.9325,9569759527.14748,9652085293.25754,9963221065.40967,9456161986.86363,..
Eritrea,ERI,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,1154926145.9126,1310318715.90375,1588386838.47483,1633788955.24089,1785058837.07344,1926233510.02823,1960377599.52023,1960641860.30086,1899038769.45137,2065307884.56551,2127379250.62751,2070886355.8446,2100950149.6029,2155038051.30131,2134151053.76576,2164601595.02151,1952837971.21425,2028539764.99879,2073049788.74561,2252986366.41081,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,GDP (constant 2015 US$),NY.GDP.MKTP.KD,14658007987.3353,13485390274.2879,10630714368.8022,10020458824.8803,9855880341.85316,10302024682.7477,10811255595.132,12222125501.0055,12752545890.575,12698343966.8422,13979306555.9168,14801394584.6609,15827575290.6098,17029885620.3809,18188036227.5922,19920093472.6082,21864806615.3187,23520173219.8219,22314690792.6965,19050002368.6512,19516679023.6285,21001308236.9578,21772480719.1512,22154913169.8562,22891073863.273,23311847750.9394,24032886893.1699,25387061799.8453,26326305513.7363,27307395615.8101,26519902198.9957,28417254674.457,28434426605.4652,27574843698.0953,..
Eswatini,SWZ,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1774023133.17655,1805252616.84431,1863493800.98989,1921376045.75296,1967502348.3094,2062447155.87618,2141687481.85455,2208139875.6303,2265640708.02818,2332496938.06271,2373552937.12448,2398588340.53223,2503648886.55839,2600795810.79964,2695046420.17554,2856716232.8374,3027895435.59253,3162193970.23595,3188176576.97374,3238073097.90528,3360917656.93365,3436445198.76525,3621897455.23596,3761746659.51485,3826331630.21918,3878174403.5524,4015035098.77479,4114008066.96745,4145651841.8002,4351364120.03953,4225737498.25845,4369384623.38277,4366430077.90613,4585402385.65415,..
Ethiopia,ETH,GDP (constant 2015 US$),NY.GDP.MKTP.KD,13224508680.3701,12280612057.8476,11215578415.0916,12689623265.693,13094417753.4806,13896779695.8913,15623617690.3741,16113247315.5274,15556028804.3965,16359053695.2448,17352574603.7583,18793064976.1136,19077728362.3105,18665390025.6039,21198769337.7279,23704202269.324,26272487888.3487,29282307975.8989,32441436121.8563,35297110794.6214,39727088219.906,44167899823.5539,47987456602.7123,53065618849.7063,58508820967.9287,64589328550.5953,70682351658.2336,77442545814.9282,82721144195.2914,89640011587.0442,95071775775.7639,100435279209.681,105779617467.591,112653319434.836,..
Euro area,EMU,GDP (constant 2015 US$),NY.GDP.MKTP.KD,8074057958810.69,8264846663029.75,8357590724327.68,8300535198143.85,8509336327958.65,8719497561287.31,8871483760275.25,9116714437876.1,9390292581847.39,9672972584417.28,10050398133574.7,10270033710725.8,10367290674625.9,10445394784084.3,10686912184842.3,10876275576480.3,11237542120581.1,11575961303980,11624175362231.8,11103080740375,11338614919727.6,11540240749125.6,11434319455839.1,11414909466215.9,11580654068039.4,11828599572765.4,12044172080940.9,12357018842215.9,12575550971089.4,12780330570620.4,12007290120801.2,12771092524492.2,13223961016884.5,13277044442520.6,..
